bond_type;maturity;procent_first_year;how_often_change;index_pointer;margin;interest_payment;interest_capitalization;exchange_price_PLN;cost_of_early_buyout_PLN;unchanged_value_early_buyout_moths
ROR;12;0.0675;1;NBP interest rates;0;1;-;99.8;0.5;1
DOR;24;0.0685;1;NBP interest rates;0.001;1;-;99.7;0.7;1
TOS;36;0.0685;36;WIBOR6M;0;-;12;99.6;0.7;maturity
COI;48;0.07;12;inflation;0.01;12;-;99.9;0.7;12
EDO;120;0.0725;12;inflation;0.0125;-;12;99.4;2;maturity
ROS;72;0.072;12;inflation;0.015;-;12;-;0.7;maturity
ROD;144;0.075;12;inflation;0.0175;-;12;-;2;maturity
